global_problem_id,source,model_name,CompStatus,CSRBinary,TestsAvailable,ValgrindStatus,UBStatus
LC_2454,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2015,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_113,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_437,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_993,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2816,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_2440,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_647,LeetCode,openai/gpt-oss-120b,Fail,0,0,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2374,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_3006,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_1882,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_838,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_2096,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_951,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_2558,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_392,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_1337,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_1372,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_785,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_847,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1040,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2330,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_3008,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2104,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_3186,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_161,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_3067,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1249,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_3240,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1192,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_739,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2577,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2116,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_723,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_160,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1669,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2246,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_82,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_719,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2969,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_3318,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_3478,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_3068,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_841,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_637,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_3284,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
